Account nr,Account name
1010,Development expenditure
1011,Capitalised expenditure for development 
1012,Capitalised expenditure for software
1018,Accumulated write-downs of capitalised expenditure
1019,Accumulated amortisation of capitalised expenditure
1020,Concessions etc.
1028,Accumulated write-downs of concessions etc.
1029,Accumulated amortisation of concessions etc.
1030,Patents
1038,Accumulated write-downs of patents
1039,Accumulated amortisation of patents
1040,Licences
1048,Accumulated write-downs of licences
1049,Accumulated amortisation of licences
1050,Trademarks
1058,Accumulated write-downs of trademarks
1059,Accumulated amortisation of trademarks
1060,"Tenancy, site leasehold and similar rights"
1068,"Accumulated write-downs of tenancy, site leasehold and similar rights"
1069,"Accumulated amortisation of tenancy, site leasehold and similar rights"
1070,Goodwill 
1078,Accumulated write-downs of goodwill
1079,Accumulated amortisation of goodwill
1080,Advance payments for intangible fixed assets 
1081,Projects in progress for intangible fixed assets
1088,Advance payments for intangible fixed assets
1110,Buildings
1111,Buildings on freehold land 
1112,Buildings on leasehold land 
1118,Accumulated write-downs of buildings
1119,Accumulated depreciation on buildings
1120,Cost of improvements to leased property
1129,Accumulated depreciation on cost of improvements to leased property
1130,Land 
1140,Plots and undeveloped land areas 
1150,Land improvements
1158,Accumulated write-downs of land improvements
1159,Accumulated depreciation on land improvements
1180,Construction in progress and advance payments for land and buildings
1181,"New construction, extensions and conversions in progress"
1188,Advance payments for land and buildings
1210,Plant and machinery
1211,Machinery
1213,Other plant
1218,Accumulated write-downs of plant and machinery
1219,Accumulated depreciation on plant and machinery
1220,Equipment and tools
1221,Equipment
1222,Building equipment 
1223,Land equipment 
1225,Tools
1228,Accumulated write-downs of equipment and tools
1229,Accumulated depreciation on equipment and tools
1230,Fixtures and fittings
1231,"Fixtures and fittings, own property"
1232,"Fixtures and fittings, leased property"
1238,Accumulated write-downs of fixtures and fittings
1239,Accumulated depreciation on fixtures and fittings
1240,Cars and other transport equipment 
1241,Cars
1242,Heavy goods vehicles
1243,Trucks
1244,Processing machines
1245,Tractors
1246,"Motorcycles, mopeds and scooters"
1247,"Boats, aircraft and helicopters "
1248,Accumulated write-downs of cars and other transport equipment
1249,Accumulated depreciation on cars and other transport equipment
1250,Computers 
1251,"Computers, company’s "
1257,"Computers, employees’"
1258,Accumulated write-downs of computers
1259,Accumulated depreciation on computers
1260,Leased assets
1269,Accumulated depreciation on leased assets
1280,Construction in progress and advance payments for machinery and equipment 
1281,"Construction in progress, machinery and equipment "
1288,Advance payments for machinery and equipment
1290,Other tangible fixed assets
1291,Works of art and similar assets 
1292,Animals classified as fixed assets
1298,Accumulated write-downs of other tangible fixed assets
1299,Accumulated depreciation on other tangible fixed assets
1310,Participations in group companies 
1311,Shares in listed Swedish group companies
1312,Shares in unlisted Swedish group companies
1313,Shares in listed foreign group companies
1314,Shares in unlisted foreign group companies
1316,Other participations in Swedish group companies
1317,Other participations in foreign group companies
1318,Accumulated write-downs of participations in group companies
1320,Long-term receivables from group companies
1321,Long-term receivables from parent company
1322,Long-term receivables from subsidiaries
1323,Long-term receivables from other group companies
1328,Accumulated write-downs of long-term receivables from group companies
1330,"Participations in associated companies, jointly controlled companies and other companies with participating is held"
1331,Participations in associated companies
1332,Accumulated write-downs of participations in associated companies
1333,Participations in jointly controlled
1334,Accumulated write-downs of participations in jointly controlled companies
1336,Participations other companies in which a participation is held
1337,Accumulated write-downs of other companies in which a participation is held
1338,"Accumulated write-downs of participations in associated companies, jointly controlled companies and other companies in which a participating is held"
1340,"Long-term receivables from associated companies, jointly controlled companies and other companies
with participating is held"
1341,Long-term receivables from associated companies
1342,Accumulated write-downs of long-term receivables from associated companies
1343,Long-term receivables from jointly controlled companies
1344,Accumulated write-downs of long-term receivables from jointly controlled companies
1346,Long-term receivables from other companies in wich a participating is held
1347,Accumulated write-downs of long-term receivables from other companies in wich a participating is held
1348,"Accumulated write-downs of long-term receivables from participations in associated companies, jointly controlled companies and other companies in wich a participating is held"
1350,Participations and securities in other companies
1351,Participations in listed companies
1352,Other participations
1353,Participations in tenant-owner associations
1354,Bonds
1356,"Participations in economic associations, other companies"
1357,"Participations in partnerships, other companies"
1358,Accumulated write-downs of other participations and securities
1360,"Loans to partners or related parties, long-term portion"
1369,"Accumulated write-downs of loans to partners or related parties, long-term portion"
1370,Deferred tax asset
1380,Other long-term receivables
1381,Long-term promissory note receivables
1382,Long-term receivables from employees
1383,Long-term deposits
1384,Derivatives
1385,Endowment assurance
1387,Long-term contractual receivables 
1388,Long term receivables
1389,Accumulated write-downs of other long-term receivables
1410,Raw materials
1419,Change in inventories of raw materials
1420,Supplies and consumables 
1429,Change in inventories of supplies and consumables
1440,Products in progress
1449,Change in products in progress
1450,Finished goods
1459,Change in inventories of finished goods
1460,Goods for resale
1465,"Inventories of goods, margin scheme"
1466,"Write-down of goods, margin scheme"
